,question,answer,non_prep_question
24,вы бы рассказать свой второй половинка,Зачем родного человека тревожить по пустякам.,Вы бы рассказали своей второй половинке!?
25,как думать особенность прошлый отношение стоить скрывать или хороший рассказать друг друг,Ну если собираетесь прошлым жить - можно и рассказать.),"Как думаете, особенности прошлых отношений стоит скрывать или лучше рассказать друг другу?"
26,кто кто должный подавать завтрак в постель муж жена или наоборот хотя бы по праздник,"Не надо в постель.) Лучше на кухне, на стол.))",Кто кому должен подавать завтрак в постель: муж жене или наоборот? Хотя бы по праздникам...
27,если умереть мой жена который например я очень сильно любить с кто я быть любовь заниматься,"Вам ни водка, ни коньяк, ни винаЗаменить не смогут героина","Если умрет моя жена, которую например я очень сильно люблю, с кем я буду любовью заниматься?"
28,когда мужчина и женщина жить не расписаться считаться ли это брак,ага),"Когда мужчина и женщина живут, не расписавшись, считается ли это браком?"
29,чт нужно делать с популярность,За попу чтоль лапают?,чт нужно делать с ПОПулярностью?
30,как получиться что у женщина нет западло и они готовый рожать хоть от гитлер лишь бы потомство быть при ресурс,"такая у них должность, рожать.","Как получилось, что у женщин нет ""западло"" и они готовы рожать хоть от Гитлера, лишь бы потомство было при ресурсе?"
31,нормально ли поведение мужчина,"50/50, просто дал тебе шанс на бесплатный секс, не хочешь как хочешь, найдет другую.","Нормально ли поведение мужчины,?!"
32,девушка пугать ли вы парень девственник,Напиши что они еще должны к тебе первыми подходить знакомится раз ты девственник))),"Девушки, пугают ли вас парни - девственники ?"
33,когда женщина уходить гордо поджать хвост,всегда),Когда женщина уходит гордо поджав хвост?
34,это не вопрос это настоящий крик о помощь пожалуйста я так одинокий я просто хотеть девушка,"Столько сайтов знакомств, а Вы страдаете... Моя подруга 2 раза замуж вышла после знакомств в интернете. На улице сколько ищи - не найти. Все своими мыслями заняты.","это не вопрос, это настоящий крик о помощи пожалуйста, я так одинок, я просто хочу девушку"
35,что плохой в неравный отношение,Меня парень младше на 1.5 года. Кого еб_ть должно правильно это или нет?,Что плохого в неравных отношениях?
36,парень вы важно наличие деньга у потенциальный девушка заработок особенно если девушка ещё студентка,"Потому в США есть хорошая привычка у молодых парней и девушек, жениться лишь после 30ти, когда человек встал на ноги и проявил себя в этой жизни не как пустое место","Парни, Вам важно наличие денег у потенциальной девушки? Заработок. Особенно если девушка еще студентка."
37,мужчина как вы завоевать,Изи!..;))),Мужчины как вас завоевать?
38,говорить дать я деньга не ноготь ноготь хотеть сделать это вообще нормально если учесть что мы неделя весь вместе,это просто.. с места в карьер.. смотрит на твоё поведение.,"Говорит: Дай мне денег не ногти, ногти хочу сделать. Это вообще нормально, если учесть что мы неделю всего вместе?!?"
39,травля м с сторона далее,"за нож посадят, носи свинчатку, скинуть быстро, следы не отличаются от удара без неё",Травля М со стороны Д
40,почему девушка добавить парень в скрытый друг в вк если он всегда быть на вид и они встречаться,"ну есть же бзик ТОЛЬКО МОЯ ПРЕЛЕССССТЬ, а может просто так скрыла","Почему девушка добавила парня в скрытые друзья в вк? Если он всегда был на виду, и они встречались?"
41,в борьба за отношение вы переступать через свой я делать то что против вообще то ваш сущность,"Это по глупости, когда человек не твой, а ты упорно пытаешься его удержать . Терпишь, молчишь, а тебя по больному . Не правильно это . В отношениях должно быть понимание и уважение . Только тогда понимаешь их суть .","В борьбе за отношения вы переступали через свое ""Я""? Делали то, что против вообще то вашей сущности?"
42,девушка это вы выбирать себя парень или вы добиваться пока вы не уступить,"Парня выбирала я, а потом ждала, пока он начнет добиваться","девушки, это вы выбирали себе парня или вас добивались пока вы не уступили?"
43,кто в отношение должный блестать парень или девушка,"Поменьше блеска, счастье любит тишину)",Кто в отношениях должен блестать? Парень или девушка?
44,как поступить в такой ситуация когда нравиться красивый девушка но у она есть свой ухажёр и ещё бывший,"Брось, чем красивее девушка тем тупее она сделает выбор )","Как поступить в такой ситуации, когда нравится красивая девушка, но у неё есть свои ухажеры и ещё бывший?"
45,объяснить что за чёрный пятница в весь магазин скидка из за она что это вообще такой,Замануха для наивных),"Объясните, что за черная пятница? Во всех магазинах скидки из-за нее. Что это вообще такое?"
46,как правильно сказать девушка что у мы не что не мочь быть она намного младший я не хотеть её обидеть хотеть быть др,А может она тебе и не даст !.Зачем переживать заранее !,"Как правильно сказать девушки, что у нас не чего не может быть? Она намного младше меня, не хочу её обидеть, хочу быть др."
47,что делать когда не знать что делать,Дрочи.,"ЧТО ДЕЛАТЬ, КОГДА НЕ ЗНАЕШЬ ЧТО ДЕЛАТЬ?"
48,как я себя вести когда рядом она симпатишный подружка,Присоеденяйся,"КАК МНЕ СЕБЯ ВЕСТИ, КОГДА РЯДОМ ЕЕ СИМПАТИШНЫЕ ПОДРУЖКИ?."
49,сказать всё вот твердить село на шея не любить меркантильный если не работать,"Нормальные мужики и нормальные женщины, нужны друг другу чтобы завести семью. Ненормальным бедным - для денег. А ненормальным богатым и вовсе не нужны! И это замечательно - чем меньше плодятся ненормальные тем лучше.","Скажите, все вот твердят, села на шею, не любит, меркантильная, если не работает"
50,почему мужик так нужно женский развитие что припечь весь мода,"Ниночка, пойми, что ум - это далеко НЕ умение читать желтую прессу и знать о массонах ))Развивайся дальше.","Почему мужикам так нужно женское развитие, чего припекло всем, мода?"
51,почему женщина чтобы мужчина понравиться так сказать взять на пабот замуж ребёнок содержанка,"Я бы содержал любимую, но не потому что вижу её как товар, а потому что люблю и не хочу чтобы она стрессовала/тратила свою жизнь/нервы/время на работе, ну и потому что хочу больше её внимания) при этом мне не нужен никакой ""брак"" чтобы привязывать кого-то к себе","Почему женщине, чтобы мужчине понравится, так сказать, взять на паботу (замуж, дети, содержанка)"
52,девушка за сколько день до свидание вы надо приглашать на он надо же придумать аутфита накраситься а не быть как,"нормальной девушке пол часа/час, нужен, чтобы привести себя впорядок)","Девушки, за сколько дней до свидания вас надо приглашать на него? Надо же придумать аутфит, накраситься, а не быть как"
53,почему мужчина любить тянуть время до пятница чтобы назначить встреча а то и в выходной а когда прасцыца девушка,"Я ездил чистить сортиры к моей девушке, потому что ей надо было вымыть весь дом, у нее было обострение хронических болячек и еще она заболела гриппом.Поэтому твоя тема с аутфитом и этими сложностями - слишком трудно, нафиг не сдалось.Поэт - да в некотором роде, писать умею по крайней мере.Но встречаться с тянкой у которой на придумывание аутфита уходит по 3 дня - та ну нафиг, скучно, тяжело + ты стерва или жирный тролль, что в общем-то близко.Моя вон аутфит может сделать топовый за 3-4 часа модельного уровня.Если ты не способна на подобное - то ты слоупок )","Почему мужчины любят тянуть время до пятницы, чтобы назначить встречу, а то и в выходной. А когда, прасцыцы девушке"
54,почему мужчина не признаваться,признаваться ему или нет - это его право) вовзращаться ему в Якутию или хоть в Парагвай - это тоже его право )ну а вам то какое дело до него? вы его мама чтоли? ),Почему мужчина не признается?
55,как пережить пол год расстояние,"Расстояние - враг отношениям.Тут просто терпеть надо.И чаще общаться ""электронно"".",Как пережить пол года расстояния?
56,вы большой бояться кто гнев мама или папа,БОГА!!!,"Вы больше боитесь кого, гнева мамы или папы?"
57,вы судить составлять мнение о человек по он слово или поступок что из это для вы иметь больший вес,"Интересуют исключительно поступки. Слова - только как проявление глупости (т. е. если хватило дури ляпнуть глупость, то поступки уже не столь интересны, они подтверждают эту глупость).","Вы судите, составляете мнение о человеке по его словам или поступкам? Что из этого для вас имеет больший ""вес"" ?"
58,если что то в отношение идти не так вы сам справляться или бежать за совет к друг родственник психолог,"...или бегите...Да, именно - или: бегим.","Если что то в отношения ""идет не так"" вы сами справляетесь или бегите за советом к друзьям, родственникам, психологу?"
59,зачем чужой человек рисковать жизнь ради другой чужое человек какой в это смысл,Это порыв альтруизма,Зачем чужому человек рисковать жизнью ради другого чужого человека? какой в этом смысл?
60,девчин ответить откровенно с твой точка зрение как не стать бабороб если существовать такой понятие,"Это бред какой-то, честно. Такими терминами быдляцкими выражаться позор",Девчин! *)))... Ответь откровенно - с твоей точки зрения... КАк не стать - баборобом*? Если существует такое понятие.. *?
61,ужасно холодно на работа ну не сидеть же в куртка,"Да это хуйня, у меня зимой 11,а летом 40 в помещении!",Ужасно холодно на работе. ну не сидеть же в куртке.
62,каков это выйти замуж за армянин который с ты в один класс всё год проучиться,"Нормально, у меня тетя с дядькой также со школы знакомы","Каково это, выйти замуж за армянина, который с тобой в одном классе все 11 лет проучился?)"
63,вопрос мужчина почему он вот так дотронцться до мой талия только честно,"Дура! Ищи место, где он тебя поставит раком.",Вопрос мужчинам. Почему он вот так дотронцлся до моей талии? Только честно
64,краснодар не отдавать жена мамаев автомобиль футболист ну как так зря что ли замуж выходить,"Правильно не отдает, пусть судится, курица.","«Краснодар» не отдает жене Мамаева автомобиль футболиста. Ну, как так, зря что ли замуж выходила?"
65,говорить прийти когда дом один быть потому что я стесняться это о чем он,Смотря куда зовёте ))).,"Говорит приду, когда дома одна будешь, потому что я стесняюсь... Это о чем он?)"
66,почему в морозный ночь на улица темно а звезда такой больший жирный,"потому что ""ночь тиха, пустыня внемлет богу и звезда с звездою говорит...""",Почему в морозную ночь на улице темно а звезды такие большие жирные?
67,как помочь безответно влюбить человек,Много рыб в море,Как помочь безответно влюбленному человеку?
68,как наладить хороший отношение,"Наладить можно двигатель до тихой работы, а отношения это женская прерогатива и паника, чтобы успеть родить до 30, пока биорепродуктивная система свежа, ей надо бегать и париться, а ты и в 40 лет принесешь свету детей . ....если женщина не вносит комфорта в отнош, кроме ссор и капризов, то гнать в шею не бить ....Пойми, что юбка и семья это не свет мира и не остриё клина, не самоценность и самоцель, а то, что помогает тебе жить комфортно и хорошо. Если не помогает – значит ты очень ошибся с выбором. Если требует заземлиться на юбке – значит ты очень ошибся с выбором. «Самое главное для мужчины – семья!» это не более чем попытка натянуть на тебя собственные ценности. Реализация мужчины во внешнем мире, вне семьи – это не только нормально, но и единственно возможный вариант. Нет ничего скучнее и нелепее мужчины, для которого «отношенечки» составляют смысл жизни...И если ты решил жить по условиям девушки или женщины, то она сольет тебя, так как у каждой инстинкт быть с доминирующим, который ей поставит условия и задачи, что ее инстинкты определят в нем лидера, за которым они ощутят себя защищенными и сочтут родить от лидера крепких и здоровых детей, что удовлетворят в себе еще один инстинкт -- материнский.Учитывай, что у каждой девушки и женщины в списке 1000 поклонников, то она уже с потребительским складом ума, так как ей важно выбирать самого обеспеченного из этого числа. Отсюда у нее растет самооценка и вера в свою востребованность, что развалит семью от скуки. А это деффектность к серьезным отношениям, а уж тем более к семье !Про официальный брак ""узаконенный грабеж"" сегодня в условиях антимужских законов и речи быть не может, тем более с такой женщиной или девушкой ...Поэтому они относятся к мужчинам не серьезно, так как они привиты, что мужчины им должны, и когда мужчина в чем. то не устроит, то она с легкостью словно меняя перчатки меняет мужчин, а это ее приведет к одиночеству и к деградации..",Как наладить хорошие отношения?
69,хотеть вернуть девушка,Для начала хорошо подумайте и решите: а стоит ли?..,Хочу вернуть девушку
70,почему у я цвет настроение чёрный,"Потому что, цвет настроения желтый пока еще не в продаже.",Почему у меня цвет настроения черный? )
71,почему муж начать давить на я после тот как я начало работать,"Если детей нет, то зачем тогда мучиться?","Почему муж начал давить на меня после того, как я начала работать?"
72,не получаться найти девушка я недостойный счастие,"А Вы связываете свое счастье только с наличием девушки? Многие совершают большую ошибку отождествляя свое счастье с отсутствием проблем или с наличием чего либо или кого либо... Думая так, человек автоматически откладывает свое счастье на потом и испытывает разочарование. СЧАСТЬЕ - это внутреннее состояние, которое не зависит от обстоятельств, а зависит от вашего отношения к этим ОБСТОЯТЕЛЬСТВАМ... т. е. от положительного настроя. Мне помогает такая мысль:"" Все дни НЕСЧАСТНОГО ГОРЕСТНЫ, а у кого сердце весело- всегда ПИР "". Не откладывайте свое счастье на потом, будьте счастливы сейчас... Тогда и девушку гораздо быстрее найдёте.",Не получается найти девушку. Я недостоин счастья?
73,поцеловать парень который нрав в щека когда он проводить быстро уйти реакция не понять как узнать,сама поняла что написала?,"Поцеловала парня который нрав в щеку, когда он проводил. Быстро ушла, реакцию не поняла.. как узнать?"
74,я он понравиться что это значит мужчина вопрос в какой случай вы так поступать,Это значит что вы гнусный тролль...,Я ему понравилась? Что это значит? Мужчинам вопрос. В каком случае вы так поступаете ?
75,если для женатый мужчина важно выпендриться,"Это говорит о том, что дома он свое получит. А на работе он ""лев"", который в итоге останется со своей тигрицей.",Если для женатого мужчины важно выпендриться
76,я запасный вариант,"А зачем тебе тот, который не может определиться? Не трать на него время, рядом появится тот у которого ты будешь на 1-ом месте.",Я - запасной вариант?
77,общаться с парень месяц,"Я лично считаю, что смелые девушки - это позитив. Как считает парень - не знаю. Не всем такое нравится.",Общаюсь с парнем месяц.
78,чувствовать себя лишний как культурно смыться,"Пожелай им приятного вечера. Скажи что пора домой, домашние дела и уйди.",Чувствую себя лишним. Как культурно смыться?
79,как жить человек если человек плохо разговаривать из за болезнь и стоить ли он отказываться от отношение,"не стоит, нужно просто найти того, кто понимает","Как жить человеку если человек плохо разговаривает из-за болезни, и стоит ли ему отказываться от отношений."
80,нравиться девушка что делать,"да, у тебя хорошие сиськепокажь",Нравится девушка. Что делать?
81,если писать парень сам через раз а потом перестать что он подумать,Завяли помидоры,"Если писала парню сама через раз, а потом перестала - что он подумает?"
82,есть ли шанс найти женщина у мужчина который не способный ни деньга заработать ни гвоздь забить,"Был дурный, та взяв дурну... воны не знали що робыть, та й пидпалылы хату...","Есть ли шанс найти женщину у мужчины, который не способен ни денег заработать, ни гвоздя забить ?"
83,про вы тоже многие думать что вы несерьёзный пофигистый и всё человеческий вы чуждый,"и что, это вам жить мешает?","Про вас тоже многие думают, что вы несерьёзные пофигисты и всё человеческое вам чуждо?)))"
84,как общаться с остыть девушка,Жарить почаще.,Как общаться с остывшей девушкой
85,а как вы выбирать объект обожание по какой критерий,по неземным качествам ...это понятно только двоим,А как вы выбираете объект обожания)) по каким критериям?)))
86,мужчина если рядом женщина на что ты всегда готовый,Смотря какая женщина.... Может и палец о палец не ударю.,"Мужчина, если рядом женщина... На что ты всегда готов?)))"
87,важно для отношение мужчина ты на подъём лёгкий с ты можно к пример по ночной город покататься ну или,Всё важно у них,"Важно для отношений... Мужчина, ты на подъем лёгкий? С тобой можно, к примеру, по ночному городу покататься, ну или"
88,много вы время нужно чтобы решиться на первый свидание,"Едут в купе три девушки. Одна говорит: - Я люблю заниматься любовью со спортсменами. Быстро прибежал, быстро сделал дело, быстро убежал. Вторая говорит: - А я люблю с военными. На счет раз он пришел, на счет два занялись любовью, на счет три он ушел. Третья: - А я люблю заниматься любовью с индейцами. Дети природы. Они как ненасытные звери в постели. Тут поезд тормознул. Падает грузин с верхней полки: - Девушки, разрешите представиться - мастер спорта по боксу, генерал армии Чингачгук!!!","Много вам времени нужно, чтобы решиться на первое свидание?)))"
89,ребята заводить новый отношение вы всегда знать что они обречь на провал или всё таки видеть перспектива,Видела.. но не оправдал надежды,"Ребята, заводя новые отношения вы всегда знаете что они обречены на провал? Или все таки видите перспективы?"
90,я сява я ствол подниматься на градус развести ребёнок нет почему у я всё хорошо без баба а ещё я,когда у меня стоит ствол на него наверное гирьку кила в три можно навеситьи без девак мне плохоа ещё я жгун =))),"Я Сява, мне 45, ствол поднимается на 20 градусов, разведен, детей нет. Почему у меня всё хорошо без баб? А ещё я"
91,рассказать пожалуйста как найти второй половинка я нужно посмотреть как примерно найти второй половинка мочь найти,Слева от правой или справа от левой)),"Расскажите пожалуйста, как найти вторую половинку? Мне нужно посмотреть как примерно найти вторую половинку, может найду"
92,что означать когда кто то кто то по прикол называть казанов,"А ты права не знаешь, кто такой Казанова",Что означает когда кто то кого то по приколу называет Казанова?
93,как думать с вы в отношение легко или с ум можно сойти,сойдешь с ума,"Как думаете, с вами в отношениях легко или с ума можно сойти?)))"
94,девушка сказать вы же явно послать тот парень который на ом свидание за вы не заплатить,"Только сама за себя, конечно если будет очень настаивать конфликтовать было бы глупо, ну либо если бы знала что моих не хватит, заплатила бы в след раз за что-нибудь","Девушки, скажите, вы же явно пошлете того парня, который на 1-ом свидании за вас не заплатит?"
95,согласный ли вы что любовь до первый красивый задница дружба до первый выгодный замена,"Смотря, что называть любовью и дружбой.","Согласны ли вы, что любовь — до первой красивой задницы, дружба — до первой выгодной замены?"
96,если обещать что то кто то а проснуться и так лень что делать,забиваю)))))))))),"Если обещали чего-то кому-то, а проснулись и так лень... Что делаете?)))"
